15:12:05.851 TRACE [Log4JLogger              ] 41   setup                     - entry
15:12:15.868 DEBUG [ConnectionFilter         ] 47   <init>                    - ConnectionFilter instantiated
10:00:48.357 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /WEB-INF/js/angular-file-upload.min.map
10:00:48.357 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /WEB-INF/js/angular-touch.min.js.map
10:00:51.163 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /WEB-INF/js/angular-touch.min.js.map
10:00:51.171 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /WEB-INF/js/angular-file-upload.min.map
10:02:32.260 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userinfo
10:02:32.260 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/connectionstatus
10:02:32.268 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /WEB-INF/js/angular-touch.min.js.map
10:02:32.272 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /WEB-INF/js/angular-file-upload.min.map
10:02:47.466 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/userinfo
10:02:47.466 DEBUG [ConnectionsMonitor       ] 58   monitorRequest            - ConnectInfo [from :0:0:0:0:0:0:0:1, Location : Seattle , United States] accessing resource : /ws-resources/bs-model/connectionstatus
